Name;Address;Ranking;Voting Power;Individual Share;Voting Participation
Cosmostation;junovaloper1t8ehvswxjfn3ejzkjtntcyrqwvmvuknzmvtaaa;1;4,507,980;9.11%;112 / 119
SG-1;junovaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcqcnylw;2;3,268,370;15.72%;93 / 119
stakefish;junovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9uxyejze;3;2,032,953;19.83%;23 / 119
The_Cybernetics;junovaloper1yfx5x9cs3nvncprlw0kuw2cgs9qq38uqnwfhd8;4;1,915,559;23.71%;54 / 119
DAO DAO;junovaloper185hgkqs8q8ysnc8cvkgd8j2knnq2m0ah6ae73gntv9ampgwpmrxqlfzywn;5;1,869,257;27.48%;0 / 119
Swiss Staking;junovaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2wsdcwk;6;1,803,371;31.13%;112 / 119
Stakecito;junovaloper1yy3tnegzmkdcm7czzcy3flw5z0zyr9vkkxrfse;7;1,446,573;34.06%;113 / 119
OmniFlix Network;junovaloper1afhtjur8js4589xymu346ca7a5y5293x7p64ca;8;1,400,693;36.89%;76 / 119
0base.vc;junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq;9;1,282,239;39.48%;115 / 119
PUPMØS;junovaloper1ka8v934kgrw6679fs9cuu0kesyl0ljjy2kdtrl;10;1,275,616;42.06%;101 / 119
Citadel.one;junovaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qx4cuznf;11;1,252,418;44.59%;91 / 119
POSTHUMAN∞DVS;junovaloper1e8238v24qccht9mqc2w0r4luq462yxttjzn7qt;12;1,214,758;47.05%;79 / 119
Frens (🤝,🤝);junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm;13;1,142,311;49.36%;94 / 119
polkachu.com;junovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pvzc6k3;14;1,044,015;51.47%;114 / 119
Kintsugi Nodes;junovaloper1juczud9nep06t0khghvm643hf9usw45r23gsmr;15;986,639;53.46%;103 / 119
Informal Systems;junovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5sujlhnj;16;964,974;55.41%;90 / 119
Imperator.co;junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd;17;963,095;57.36%;116 / 119
Provalidator;junovaloper1jc9fr7s5kal8878trt86ne0k353r4yd6a60zak;18;824,760;59.03%;102 / 119
Disperze;junovaloper194v8uwee2fvs2s8fa5k7j03ktwc87h5ym39jfv;19;787,729;60.62%;113 / 119
Lavender.Five Nodes 🐝;junovaloper1wd02ktcvpananlvd9u6jm3x3ap3vmw59jv9vez;20;708,523;62.05%;95 / 119
Golden Ratio Staking;junovaloper10y7ucn6jhjtakwchgpw32y0tgaku6yn255z7gm;21;704,559;63.48%;102 / 119
kingnodes 👑;junovaloper10wxn2lv29yqnw2uf4jf439kwy5ef00qdelfp7r;22;601,280;64.69%;119 / 119
CryptoDungeon;junovaloper13x4pynlp86prhcmtns742kgsgu7pjtzjeknkwx;23;548,258;65.80%;88 / 119
Kleomedes;junovaloper1x8u2ypdr35802tjyjqyxan8x85fzxe6sk0qmh8;24;547,699;66.91%;109 / 119
SmartNodes 🛡 Slash Protected;junovaloper1q3jsx9dpfhtyqqgetwpe5tmk8f0ms5qywje8tw;25;501,884;67.92%;23 / 119
ChainTools;junovaloper1dru5985k4n5q369rxeqfdsjl8ezutch8mc6nx9;26;486,599;68.91%;90 / 119
BlueStake 🚀 | 100% insurance;junovaloper1z3svprqzmquw6mckh6rgyt0dmd4yhv7c6l58qc;27;476,513;69.87%;98 / 119
Gelotto 🛡 Slash Protected;junovaloper1cqdhr7arcezmkhy32qzsqsjvq2rheuhx4xj867;28;474,066;70.83%;81 / 119
Allnodes;junovaloper1v3lnt5cjjk9658yyrv2673pcqx3nzvkg256xjp;29;463,202;71.77%;63 / 119
